idx,archetype,prosocial_init,base_bias,resistance,final_strategy,cumulative_payoff,times_targeted,times_persuaded,times_exploited,degree
0,pragmatist,0.35223132710824656,0.0,0.2737924061511334,0.13659199044965042,1198.0,50,0,6,13
1,idealist,0.6995585987086795,0.1,0.39887216247483825,0.7293770648099182,486.0,50,47,30,10
2,skeptic,0.203790405812303,-0.12,0.4992195103742102,0.10992404154905687,79.0,0,0,3,1
3,conformist,0.356480438851741,0.0,0.17229472848780394,0.3246576418673698,954.0,50,33,15,12
4,strategist,0.20877183237204167,-0.05,0.3362657815315277,0.0003497884866550443,992.0,50,1,0,10
5,opportunist,0.48530713781061824,-0.15,0.6363439047147194,0.18027741799024138,884.0,50,0,10,10
6,pragmatist,0.49749675247078534,0.0,0.37658199925464625,0.19110163093025345,476.0,0,0,6,5
7,idealist,0.22603249725536514,0.1,0.6379093687086042,0.29495669594183116,282.0,0,0,13,4
8,skeptic,0.16265316630625495,-0.12,0.6652702783733726,0.005854204282030618,528.0,0,0,1,5
9,conformist,0.40051438891892255,0.0,0.017903022310830463,0.23341830958576906,944.0,50,30,14,11
10,strategist,0.35155724836064534,-0.05,0.19919779790120162,0.06259039713205464,642.0,0,0,4,7
11,opportunist,0.5070283638373487,-0.15,0.38349119570829227,0.3547566271054592,437.0,0,0,8,5
12,pragmatist,0.6723856744550786,0.0,0.025559396483197383,0.3456392795952512,415.0,0,0,10,5
13,idealist,0.44953785530012236,0.1,0.16619163175176133,0.5650917047254588,439.0,0,0,15,5
14,skeptic,0.5663807771187089,-0.12,0.2,0.35583476860886487,739.0,0,0,7,7
15,conformist,0.39844584748507783,0.0,0.18152593910041528,0.1861726046273066,425.0,0,0,8,5
16,strategist,0.22735971240054734,-0.05,0.44778233742872814,0.028211923076582036,275.0,0,0,4,4
17,opportunist,0.47680701436775946,-0.15,0.5510285156060626,0.3538736286578703,422.0,0,0,4,4
18,pragmatist,0.5938777288011766,0.0,0.15302181504379847,0.3338969285206794,296.0,0,0,12,3
19,idealist,0.3303306363165693,0.1,0.2695001271342146,0.24343336145471323,292.0,0,0,12,3
20,skeptic,0.5621939588944702,-0.12,0.6276450936463314,0.2907534352585279,314.0,0,0,13,4
21,conformist,0.3435472693936973,0.0,0.058920422211700296,0.12590462963390525,432.0,0,0,6,5
22,strategist,0.3303265627250207,-0.05,0.21236426562639793,0.07672345500197261,265.0,0,0,4,3
23,opportunist,0.4143114933652911,-0.15,0.3802277428464603,0.19141270043343594,219.0,0,0,7,3
24,pragmatist,0.7587171702746567,0.0,0.2240394510320355,0.7032797359598448,236.0,0,0,22,3
25,idealist,0.4066913449456167,0.1,0.36878665936410415,0.36097443076760405,211.0,0,0,12,3
26,skeptic,0.3070388901645112,-0.12,0.4447059276316385,0.07465994838577,311.0,0,0,5,3
27,conformist,0.451997772174152,0.0,0.2661218920525896,0.3967816700901995,245.0,0,0,11,3
28,strategist,0.25259777118798654,-0.05,0.5057204185930535,0.08832608294045328,261.0,0,0,6,3
29,opportunist,0.3971313951147594,-0.15,0.4254124631655437,0.11732957285117784,204.0,0,0,8,3
